timestamp,request_rate_rps,response_time_max_ms,error_rate,throughput_rps,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms,response_time_p95_ms
2026-06-15 12:06:43+00:00,,999.695349,,,92.50253292806484,92.4809756097561,1.0,,,31579136.0,268435456.0,22.0,22.0,,0.11764144897460938,,
2026-06-15 12:07:13+00:00,0.13386666666666666,8278.773783,,0.13386666666666666,87.5,86.90306666666666,1.0,0.600944,10.6512,191213568.0,268435456.0,33.0,33.0,,0.7123260498046875,56.42030944870062,1037.8072632192002
2026-06-15 12:07:43+00:00,6.524053333333333,19667.705869999998,,6.49072,73.61601884570082,74.20135844748859,1.0,2.3723008,92.24159999999999,167070464.0,268435456.0,33.0,33.0,,0.6223859786987305,25.718339664533143,1232.3546040884628
2026-06-15 12:08:13+00:00,15.566666666666666,19667.705869999998,,15.533333333333335,77.34784163200709,77.49903175624583,3.0,0.5,125.4128,257178752.0,805306368.0,77.0,77.0,,0.31935516993204754,3.9868338797953635,102.2470986968202
2026-06-15 12:08:43+00:00,16.522605555555558,19667.705869999998,,16.422605555555556,22.54754754754755,22.872109362652125,3.0,0.23000000000000043,92.0,228058112.0,805306368.0,77.0,77.0,,0.28319422403971356,2.500000000000005,95.68420165791716
2026-06-15 12:09:13+00:00,16.700000000000006,19667.705869999998,,16.600000000000005,19.13134020104199,19.029261637899737,3.0,0.3099999999999996,98.0,277741568.0,805306368.0,77.0,77.0,,0.3448893229166667,3.1632653061224447,42.24195254725125
2026-06-15 12:09:43+00:00,8.299999999999999,19667.705869999998,,8.2,38.57779539642331,38.55907216921989,3.0,0.06200000000000028,40.0,374247040.0,913309696.0,77.0,77.0,,0.409770137817523,1.550000000000007,15.532903439999993
2026-06-15 12:10:13+00:00,15.343827777777777,19667.705869999998,,15.243827777777778,21.818132961385405,21.845632397234827,3.0,0.34200000000000014,72.0,405905920.0,913309696.0,77.0,77.0,,0.44443404222876004,4.750000000000002,27.02524170762645
2026-06-15 12:10:43+00:00,16.366666666666667,2572.355976,,16.266666666666666,22.35033105097714,22.324791298410346,3.0,0.19599999999999995,82.0,373555152.0,913309696.0,77.0,77.0,,0.4090125766057782,2.390243902439024,16.700320280000003
2026-06-15 12:11:13+00:00,18.099999999999998,2572.355976,,17.999999999999996,40.47187958783914,40.49724241334981,4.0,0.18999999999999972,86.0,541353848.0,1181745152.0,99.0,99.0,7883.0,0.4580969484696477,2.2093023255813917,15.057548769999974
2026-06-15 12:11:43+00:00,37.6,2572.355976,,37.5,37.1990775710775,37.2505606548871,4.0,0.7399999999999997,211.9462,531979392.0,1181745152.0,99.0,99.0,8215.0,0.45016422627135094,3.4914520760457117,21.29108575000004
2026-06-15 12:12:13+00:00,72.66283333333332,2572.355976,,72.52949999999998,48.43557595738891,48.38777672090841,4.0,2.1460000000000004,396.0,403300864.0,1181745152.0,99.0,99.0,8224.0,0.34127566617679683,5.41919191919192,70.46934334935736
2026-06-15 12:12:43+00:00,103.43333333333334,871.544937,,103.30000000000001,64.3739709296132,64.44063072263415,4.0,2.63,578.0,544836320.0,1181745152.0,103.0,103.0,8227.0,0.4610438376480008,4.550173010380623,106.28305250907916
2026-06-15 12:13:13+00:00,125.20000000000002,3700.5914390000003,,125.06666666666669,77.88936212645203,77.84032196528305,4.0,10.182545833333332,734.0,443422192.0,1396703232.0,128.0,128.0,8233.0,0.31747774462084155,13.872678247048137,437.5786566774198
2026-06-15 12:13:43+00:00,123.16324034263242,3710.009516,,123.02991034229912,78.58868012497342,78.61582081009372,4.0,11.972241775822413,715.982401759824,886666048.0,1553989632.0,143.0,143.0,8233.0,0.5705739792220184,16.721419054987468,672.813542509592
2026-06-15 12:14:13+00:00,123.83672700603393,3710.009516,,123.70339033903392,78.13802849817218,78.06296802878504,4.0,10.660112011201123,672.011401140114,577861592.0,1557135360.0,153.0,153.0,8235.0,0.37110556143301504,15.86299279017514,591.6900376969872
2026-06-15 12:14:43+00:00,121.5,3710.009516,,121.36666666666667,86.10132733950235,86.16164361847537,4.0,14.369999999999994,716.0,839494152.0,1624244224.0,159.0,159.0,8234.0,0.5168521701327595,20.069832402234628,700.7626258724488
2026-06-15 12:15:13+00:00,116.20000000000002,4602.074946,,116.06666666666668,79.44425801640567,79.37367433877279,4.0,12.034,660.0,738809168.0,1811939328.0,161.0,161.0,8234.0,0.407744981624462,18.233333333333334,873.228670522728
2026-06-15 12:15:43+00:00,128.39999999999998,4602.074946,,128.26666666666665,77.02906954555553,77.08569598358169,4.0,9.4547682,592.0,868663136.0,1468006400.0,161.0,161.0,8235.0,0.5917298017229353,15.97089222972973,534.2679005272715
2026-06-15 12:16:13+00:00,126.59999999999998,4602.074946,,126.46666666666665,72.94305091044222,72.92255833333334,4.0,10.251999999999999,674.0,687864832.0,1593835520.0,161.0,161.0,8237.0,0.4315783048930921,15.2106824925816,482.90419973437304
2026-06-15 12:16:43+00:00,90.73333333333332,4602.074946,,90.6,46.698801060588394,46.73666487119606,4.0,2.993999999999996,406.0,686042192.0,1542455296.0,161.0,161.0,8238.0,0.44477282017773306,7.374384236453192,102.6041890867644
2026-06-15 12:17:13+00:00,31.633333333333336,2593.492919,,31.5,24.25219772214357,24.177793507197496,4.0,0.5040000000000031,136.0,718193936.0,1542455296.0,161.0,161.0,8238.0,0.46561734259817406,3.7058823529411993,15.676209100000005
2026-06-15 12:17:43+00:00,16.433333333333334,2103.518719,,16.3,13.787098684829996,13.855284283777394,4.0,0.2840000000000007,66.0,644918944.0,1542455296.0,161.0,161.0,8238.0,0.4181119191411561,4.303030303030313,11.499381724999989
2026-06-15 12:18:13+00:00,16.733333333333334,1796.436207,,16.6,15.60931269019394,15.662671090066766,4.0,0.1159999999999961,56.0,657515880.0,1542455296.0,161.0,161.0,8238.0,0.4262787269784187,2.071428571428502,10.508128116000004
2026-06-15 12:18:43+00:00,16.866666666666667,1796.436207,,16.733333333333334,11.963731564065643,11.997458458550822,4.0,0.14400000000000368,64.0,748478648.0,1542455296.0,161.0,161.0,8239.0,0.48525143642153246,2.2500000000000577,9.966463842857143
2026-06-15 12:19:13+00:00,15.533333333333331,226.78493799999998,,15.399999999999999,13.088339930961713,12.971756898872345,4.0,0.14200000000000124,68.0,507938336.0,1542455296.0,161.0,161.0,8244.0,0.32930506142850313,2.088235294117665,10.432497509523808
2026-06-15 12:19:43+00:00,17.333333333333332,107.58345800000001,,17.2,16.326152735237397,16.327774764500816,4.0,0.17599999999999483,76.0,711906640.0,1542455296.0,161.0,161.0,8244.0,0.4615411816771382,2.3157894736841427,10.855844058823529
2026-06-15 12:20:13+00:00,16.900000000000002,99.05578399999999,,16.76666666666667,12.583860012349712,12.622199484217791,4.0,0.19000000000000128,74.0,807008248.0,1542455296.0,161.0,161.0,8244.0,0.5231971714789976,2.567567567567585,9.781957171359222
2026-06-15 12:20:43+00:00,15.799999999999997,101.41444800000001,,15.666666666666664,12.483919859866452,12.441425364400777,4.0,0.18400000000000283,68.0,617383928.0,1542455296.0,161.0,161.0,8244.0,0.4002604999970126,2.705882352941218,10.474573691999996
2026-06-15 12:21:13+00:00,20.06666666666667,101.41444800000001,,19.933333333333334,15.497853110297232,15.566969907373633,4.0,0.22400000000000198,92.0,722024040.0,1542455296.0,161.0,161.0,8244.0,0.4681004641576335,2.4347826086956736,10.91056611153847
2026-06-15 12:21:43+00:00,41.03333333333333,101.41444800000001,,40.9,20.531266076958218,20.51812189289839,4.0,0.42399999999999416,166.0,672316800.0,1542455296.0,161.0,161.0,8244.0,0.4358744151247026,2.554216867469844,11.713291177999993
2026-06-15 12:22:13+00:00,73.36666666666667,199.880059,,73.23333333333333,31.717850624986067,31.660938543466898,4.0,0.818000000000005,312.0,793936888.0,1542455296.0,161.0,161.0,8244.0,0.5147227864942934,2.621794871794888,15.289546154687507
2026-06-15 12:22:43+00:00,104.26666666666665,205.562748,,104.13333333333333,46.2675487987988,46.285416237639154,4.0,1.7539999999999978,442.0,815741608.0,1542455296.0,161.0,161.0,8244.0,0.5288591572899627,3.9683257918551984,25.956473862068737
2026-06-15 12:23:13+00:00,131.96666666666667,891.9106,,131.83333333333331,58.28335191378669,58.30248096002334,4.0,2.9640000000000004,572.0,536226784.0,1542455296.0,161.0,161.0,8244.0,0.3476449433514085,5.1818181818181825,74.28402545282997
