timestamp,request_rate_rps,response_time_p50_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,failure_rate_rps,error_rate,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms
2026-06-12 21:33:30+00:00,1.96321435,1729.4736842105262,7163.684210526316,7300.526315789473,7300.526315789473,0.0,,91.1439114391144,91.06474597273854,1.0,,,38776032.0,268435456.0,22.0,22.0,7905.0,0.1444519758224487,
2026-06-12 21:34:00+00:00,12.19,228.16666666666666,4668.566666666667,5644.4,5963.0,0.0,,87.61467889908256,86.84391089108911,1.0,0.6319999999999999,87.15799999999999,112290912.0,279969792.0,34.0,34.0,8246.0,0.4010822424727879,7.251198971981918
2026-06-12 21:34:30+00:00,16.223333333333333,4.266666666666667,19.333333333333332,55.93333333333333,71.36666666666666,0.0,,69.01234567901234,70.69304398148148,1.0,0.6319999999999999,87.15799999999999,34491904.0,279969792.0,34.0,34.0,8250.0,0.1231986628043071,7.251198971981918
2026-06-12 21:35:00+00:00,15.83,5.266666666666667,23.833333333333332,52.266666666666666,58.03333333333333,0.0,,69.27206920431853,69.31146996517708,3.0,0.3399886670444321,91.99693343555214,221887008.0,816840704.0,78.0,78.0,8252.0,0.2716404886698692,3.695652173913047
2026-06-12 21:35:30+00:00,15.583333333333334,5.9,26.033333333333335,58.46666666666667,137.16666666666666,0.0,,22.421573750477407,22.7134309313469,3.0,0.3100103336777893,88.00293343111436,251305144.0,816840704.0,78.0,78.0,8258.0,0.3076550210700567,3.522727272727274
2026-06-12 21:36:00+00:00,15.875862068965516,5.827586206896552,33.55172413793103,120.27586206896552,186.75862068965517,0.0,,24.994053176826288,24.914034509900056,3.0,0.3679999999999999,84.0,378984336.0,816840704.0,78.0,78.0,8259.0,0.4639635783870046,4.38095238095238
2026-06-12 21:36:30+00:00,15.98,5.633333333333334,16.8,27.666666666666668,46.733333333333334,0.0,,26.07763843782648,26.088569415037156,3.0,0.3497435214176271,66.13763240290454,265748256.0,816840704.0,78.0,78.0,8259.0,0.3253366962476933,5.2881167455015765
2026-06-12 21:37:00+00:00,15.8,4.7,15.3,17.4,19.1,0.0,,21.45765259918231,21.358628163809406,3.0,0.4417995594938995,89.95708752746236,385495664.0,816840704.0,78.0,78.0,8259.0,0.4719349343296193,4.911225692572869
2026-06-12 21:37:30+00:00,18.32,4.533333333333333,14.166666666666666,26.133333333333333,41.63333333333333,0.0,,18.180064240733696,18.345220545799876,3.0,0.3039850021620743,89.99620061107312,282263040.0,816840704.0,78.0,78.0,8259.0,0.3455545721678434,3.377753728468756
2026-06-12 21:38:00+00:00,44.49666666666667,3.066666666666667,13.4,34.8,72.86666666666666,0.0,,22.949518305625112,22.889871254848764,3.0,0.3479934691642204,129.99920079993956,242807296.0,816840704.0,78.0,78.0,8259.0,0.2972517099245828,2.6768892964177535
2026-06-12 21:38:30+00:00,64.11428571428571,2.857142857142857,12.285714285714286,49.285714285714285,88.0,0.0,,30.058501971683288,30.060624415863774,3.0,0.9360273347067432,310.17853383114107,207625136.0,816840704.0,78.0,78.0,8259.0,0.2541806927388378,3.0177050718032916
