timestamp,request_rate_rps,response_time_max_ms,error_rate,throughput_rps,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms,response_time_p95_ms
2026-06-12 21:45:09+00:00,,,,,,,0.0,,,,,,,,,,
2026-06-12 21:45:39+00:00,,11118.006464,,,92.1165381319623,91.91141228070175,1.0,,,111521792.0,268435456.0,23.0,23.0,8189.0,0.4154510498046875,,
2026-06-12 21:46:09+00:00,9.205066160050661,19847.809925,,9.171736159717362,79.1812865497076,79.70885487528344,1.0,1.0293545978735459,67.70029663700298,201886720.0,268435456.0,23.0,23.0,8231.0,0.7520866394042969,15.204580319533358,452.3030681801317
2026-06-12 21:46:39+00:00,21.7021702170217,19847.809925,,21.668833550021663,66.45367412140575,65.0265111111111,1.0,1.898189818981898,132.013201320132,282439680.0,464519168.0,41.0,41.0,8234.0,0.6080258888261851,14.378787878787879,286.9319637440713
2026-06-12 21:47:09+00:00,26.365787807073094,19847.809925,,26.332455584813832,97.43589743589743,97.96157253599114,1.0,6.677777407419753,427.985733808873,511029248.0,536870912.0,103.0,105.0,8116.0,0.9518661499023438,15.602803738317757,4830.7536201742405
2026-06-12 21:47:39+00:00,20.965967801073294,19847.809925,,20.932635578814036,80.75044410926763,80.58471111405977,3.0,6.289470684310523,604.6874770840972,596034616.0,1073741824.0,171.0,171.0,8116.0,0.5551004931330681,10.40119222352576,10000.0
2026-06-12 21:48:09+00:00,76.67100002177851,19847.809925,,76.63766557729703,69.71282895195938,69.87555308742408,3.0,11.040343611453716,1109.3523009022524,775909008.0,1073741824.0,183.0,183.0,8116.0,0.7226215749979019,9.952062660774619,9089.254425125584
2026-06-12 21:48:39+00:00,111.32198905159106,26085.186719999998,,111.22199793951711,74.41085271317829,74.32720517537405,3.0,22.8991361732463,1615.905674543617,743829552.0,1073741824.0,196.0,196.0,8117.0,0.692745253443718,14.17108469509753,10000.0
2026-06-12 21:49:09+00:00,70.63853490252521,949.5539170000001,,70.5718637910437,45.6914648212226,45.74908465974625,2.0,0.8840686728761544,396.0300026802573,248056424.0,536870912.0,44.0,44.0,8117.0,0.46204109489917755,2.232327517846987,8.84304582130744
2026-06-12 21:49:39+00:00,52.29617478015318,949.5539170000001,,52.22951255756062,45.16904052244966,45.25459614448948,3.0,0.5439622698841412,309.97660208646647,264456216.0,805306368.0,66.0,66.0,8117.0,0.32839205861091614,1.754849450644683,7.733105199850169
2026-06-12 21:50:09+00:00,29.755994497071107,949.5539170000001,,29.655997830219263,21.597075894040934,21.519603119813837,3.0,0.2999907337977519,165.99426695109543,323942912.0,805306368.0,66.0,66.0,,0.4022604624430339,1.8072355106464848,9.9751957002076
