timestamp,request_rate_rps,response_time_p50_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,failure_rate_rps,error_rate,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms
2026-06-14 18:20:00+00:00,0.4,592.5,900.0,900.0,900.0,0.0,,96.58421672555949,96.44372202591283,1.0,,,41765384.0,268435456.0,22.0,22.0,,0.1555881798267364,
2026-06-14 18:20:30+00:00,3.106198724137931,2899.793103448276,8248.275862068966,8310.344827586207,8310.344827586207,2.020689655172414,,96.58421672555949,96.44372202591283,0.0,,,41765384.0,268435456.0,22.0,22.0,,0.1555881798267364,
2026-06-14 18:21:00+00:00,3.44,1753.6333333333334,22835.0,22846.333333333332,24063.333333333332,0.6366666666666667,,96.58421672555949,96.44372202591283,0.0,,,41765384.0,268435456.0,22.0,22.0,,0.1555881798267364,
2026-06-14 18:21:30+00:00,15.333333333333334,7.466666666666667,79.93333333333334,175.56666666666666,285.3333333333333,0.0,,87.29535036018336,87.23538461538462,1.0,0.492,98.0,100190272.0,268435456.0,22.0,22.0,,0.3732378482818603,5.020408163265306
2026-06-14 18:22:00+00:00,16.12333333333333,6.633333333333334,75.13333333333334,140.96666666666667,173.46666666666667,0.0,,48.1859410430839,48.49927927927928,1.0,0.492,98.0,145742848.0,268435456.0,22.0,22.0,,0.5429344177246094,5.020408163265306
2026-06-14 18:22:30+00:00,16.32,4.866666666666666,22.7,73.6,82.43333333333334,0.0,,67.9796301320311,67.88691473367699,2.0,0.622,102.0,235449096.0,536870912.0,44.0,44.0,,0.4385581165552139,6.098039215686275
2026-06-14 18:23:00+00:00,15.763333333333332,5.433333333333334,84.4,512.4,722.0,0.0,,28.277016742770165,28.789890182648403,2.0,0.2039999999999999,92.0,195865024.0,536870912.0,44.0,44.0,,0.364827036857605,2.2173913043478257
2026-06-14 18:23:30+00:00,15.886666666666667,6.433333333333334,64.43333333333334,147.56666666666666,198.63333333333333,0.0,,44.312619869581894,44.265828960490985,2.0,0.1939999999999999,76.0,124894208.0,536870912.0,44.0,44.0,,0.2326335906982422,2.5526315789473677
2026-06-14 18:24:00+00:00,15.493333333333334,5.433333333333334,18.166666666666668,54.266666666666666,112.13333333333334,0.0,,51.257911746287355,51.25128725110093,3.0,0.354,100.0,126359552.0,805306368.0,66.0,66.0,,0.1569086710611979,3.54
2026-06-14 18:24:30+00:00,28.220000000000002,5.6,49.06666666666667,183.86666666666667,400.6666666666667,0.0,,35.507296988080036,35.4592346144636,3.0,0.282,100.0,201708464.0,805306368.0,66.0,66.0,,0.2504741946856181,2.8199999999999994
2026-06-14 18:25:00+00:00,59.20666666666667,8.3,145.86666666666667,345.0,561.3333333333334,0.0,,39.763819151580584,39.83342302788792,3.0,1.4790733333333337,223.50843333333333,328137696.0,805306368.0,66.0,66.0,,0.4074693918228149,6.6175280783588635
2026-06-14 18:25:30+00:00,86.46333333333334,16.766666666666666,436.6666666666667,797.3333333333334,1309.6666666666667,0.0,,62.05394999162975,62.09203889156112,3.0,3.2717372333333334,401.5194333333333,416791312.0,946864128.0,70.0,70.0,,0.4401806971823522,8.14839074206703
2026-06-14 18:26:00+00:00,99.29310344827586,133.13793103448276,1342.7586206896551,2165.5172413793102,2882.7586206896553,0.0,,79.35411946632142,79.29956924319777,3.0,8.2215131,532.0,579678696.0,1124073472.0,98.0,98.0,,0.5156946680439052,15.453971992481202
2026-06-14 18:26:30+00:00,102.20666666666666,268.3333333333333,1763.3333333333333,2593.3333333333335,3556.6666666666665,0.0,,92.60547292944976,92.65449660109664,3.0,10.962,498.0,915739976.0,1330642944.0,125.0,125.0,8156.0,0.6881936135679084,22.012048192771083
2026-06-14 18:27:00+00:00,100.82333333333332,303.0,1810.0,2653.3333333333335,4196.666666666667,0.0,,90.0723074203136,89.98163141395688,4.0,18.4252921108742,597.8731343283582,870474240.0,1717567488.0,162.0,162.0,8156.0,0.5068064259958791,30.81806331969223
2026-06-14 18:27:30+00:00,117.53333333333333,79.7,1149.0,1923.3333333333333,2866.6666666666665,0.0,,77.66999060311474,77.70333231096348,4.0,13.27984255276583,488.0486145843753,622076744.0,1580204032.0,166.0,166.0,8224.0,0.3936686221542307,27.21008144665058
2026-06-14 18:28:00+00:00,119.53666666666666,59.333333333333336,1076.6666666666667,1670.0,2820.0,0.0,,74.64506538928694,74.62038873851576,4.0,9.26586504368816,475.9983438787897,704272744.0,1781530624.0,166.0,166.0,8226.0,0.3953189097691312,19.466170760559745
2026-06-14 18:28:30+00:00,133.6551724137931,17.103448275862068,431.37931034482756,810.0,1247.5862068965516,0.0,,73.62442078280587,73.62862735932154,4.0,8.392555391828562,478.0344713584544,818862736.0,1792016384.0,166.0,166.0,8232.0,0.4569504739528096,17.55638117054408
2026-06-14 18:29:00+00:00,136.07666666666668,18.333333333333332,373.6666666666667,705.6666666666666,1148.6666666666667,0.0,,71.85931109111088,71.91163729465045,4.0,3.8739999999999974,488.0,950441896.0,1792016384.0,171.0,171.0,8233.0,0.5303756731724167,7.938524590163928
2026-06-14 18:29:30+00:00,115.22333333333333,8.033333333333333,182.93333333333334,409.6666666666667,653.3333333333334,0.0,,74.60529715762274,74.64430821666537,4.0,4.960000000000004,576.0,953794528.0,1792016384.0,172.0,172.0,8233.0,0.532246544460165,8.611111111111118
