timestamp,request_rate_rps,response_time_p50_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,failure_rate_rps,error_rate,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms
2026-06-15 22:03:30+00:00,1.1843768518518518,2.8846153846153846,9.192307692307692,9.192307692307692,9.192307692307692,1.1843768518518518,,99.65397923875432,99.66900807381776,1.0,,,56369328.0,268435456.0,22.0,22.0,,0.2099921107292175,
2026-06-15 22:04:00+00:00,1.1843768518518518,2.8846153846153846,9.192307692307692,9.192307692307692,9.192307692307692,1.1843768518518518,,99.65397923875432,99.66900807381776,0.0,,,56369328.0,268435456.0,22.0,22.0,,0.2099921107292175,
2026-06-15 22:04:30+00:00,5.123333333333333,104.9,17577.066666666666,20790.4,21083.733333333334,0.52,,97.21656483367278,97.39931292517008,1.0,0.8599999999999998,65.99999999999999,228931072.0,373293056.0,30.0,30.0,,0.6132743921172753,13.03030303030303
2026-06-15 22:05:00+00:00,19.916666666666668,16.266666666666666,339.46666666666664,860.0,1053.6666666666667,0.0,,57.82312925170068,57.79414689265536,1.0,0.8599999999999998,65.99999999999999,117479936.0,376438784.0,30.0,30.0,,0.3120824447249303,13.03030303030303
2026-06-15 22:05:30+00:00,20.009999999999998,2.3333333333333335,79.9,151.66666666666666,158.33333333333334,0.0,,33.22147651006711,33.252774049217,1.0,0.5139999999999997,55.99999999999999,208768000.0,376438784.0,30.0,30.0,,0.5545868514972145,9.178571428571423
2026-06-15 22:06:00+00:00,19.986666666666668,2.066666666666667,82.46666666666667,272.3,350.6666666666667,0.0,,74.09656502853575,74.1424188451821,3.0,0.4620000000000006,49.99999999999999,126285312.0,913309696.0,74.0,74.0,,0.138272168305109,9.240000000000013
2026-06-15 22:06:30+00:00,19.446666666666665,6.3,556.3,1446.2666666666667,1549.0,0.0,,40.215677449720005,40.279721466849125,3.0,0.6792376000000002,33.678399999999996,290412024.0,913309696.0,74.0,74.0,,0.3179775986961601,20.16834528956246
2026-06-15 22:07:00+00:00,20.0,3.0,40.766666666666666,139.53333333333333,182.3,0.0,,28.996120883262417,29.01202388849545,3.0,0.5999999999999992,76.0,346190848.0,913309696.0,74.0,74.0,,0.3790508844001148,7.894736842105253
2026-06-15 22:07:30+00:00,20.0,2.3,31.733333333333334,92.06666666666666,124.2,0.0,,20.35072694794917,20.303712338330396,3.0,0.4200000000000007,76.0,349497344.0,913309696.0,74.0,74.0,8149.0,0.3826712291905855,5.526315789473694
2026-06-15 22:08:00+00:00,20.0,2.033333333333333,21.166666666666668,81.3,97.03333333333333,0.0,,47.720835504092086,47.769475001112,5.0,0.1559999999999995,62.0,353608192.0,1450180608.0,118.0,118.0,8149.0,0.2438373469134128,2.516129032258058
2026-06-15 22:08:30+00:00,20.0,2.0,22.3,56.5,92.56666666666666,0.0,,18.70812262916995,19.299370281595447,5.0,0.1980000000000001,72.0,510246000.0,1450180608.0,118.0,118.0,8206.0,0.3518499676420993,2.7500000000000027
2026-06-15 22:09:00+00:00,20.0,2.0,20.344827586206897,101.79310344827586,131.13793103448276,0.0,,13.569336867963772,13.580331942735064,5.0,0.3439999999999996,68.0,504278176.0,1450180608.0,118.0,118.0,8206.0,0.347734739533905,5.05882352941176
2026-06-15 22:09:30+00:00,19.926666666666666,2.3666666666666667,42.8,554.8333333333334,843.9333333333333,0.0,,17.905535556485415,17.828028020315067,5.0,0.4679999999999997,74.0,522870600.0,1450180608.0,118.0,118.0,8222.0,0.3605555039941618,6.324324324324321
2026-06-15 22:10:00+00:00,19.973333333333336,2.933333333333333,26.166666666666668,302.6333333333333,438.8333333333333,0.0,,26.940759321032772,26.970644910179686,5.0,0.6927008000000004,78.5704,497527296.0,1450180608.0,118.0,118.0,8231.0,0.3430795400623644,8.81630741347887
2026-06-15 22:10:30+00:00,20.0,2.6333333333333333,18.733333333333334,48.86666666666667,82.3,0.0,,16.286338922406703,16.344998241329055,5.0,0.2519999999999995,76.0,549646336.0,1450180608.0,118.0,118.0,8232.0,0.3790192290310918,3.315789473684204
2026-06-15 22:11:00+00:00,20.0,2.433333333333333,20.133333333333333,69.4,86.96666666666667,0.0,,17.76779482522201,17.740896135707406,5.0,0.4220000000000005,84.0,473739776.0,1450180608.0,118.0,118.0,8232.0,0.3266763969857194,5.02380952380953
2026-06-15 22:11:30+00:00,20.0,2.033333333333333,18.0,32.06666666666667,79.5,0.0,,15.400141452542696,15.378136995155506,5.0,0.3459999999999994,80.0,252167680.0,1450180608.0,118.0,118.0,8232.0,0.173887085931851,4.324999999999993
2026-06-15 22:12:00+00:00,20.0,2.0,18.633333333333333,72.46666666666667,186.43333333333334,0.0,,13.231649932998153,13.172352373939052,5.0,0.1580000000000005,58.0,526991872.0,1450180608.0,118.0,118.0,8232.0,0.3633974065663413,2.724137931034493
2026-06-15 22:12:30+00:00,20.0,2.0,19.133333333333333,40.5,47.233333333333334,0.0,,13.886438639775696,13.927343403951136,5.0,0.2260000000000003,82.0,445921280.0,1450180608.0,118.0,118.0,8232.0,0.3074936166847433,2.7560975609756135
2026-06-15 22:13:00+00:00,18.5,2.0,17.9,39.13333333333333,65.1,0.0,,12.526030011579143,12.489041416092716,4.0,0.1579999999999998,54.0,452071936.0,1181745152.0,96.0,96.0,8232.0,0.3825460466115794,2.9259259259259234
2026-06-15 22:13:30+00:00,18.0,2.0,16.7,35.5,80.36666666666666,0.0,,9.266101812198198,9.295484857162815,4.0,0.1299999999999994,52.0,401341688.0,1181745152.0,96.0,96.0,8232.0,0.3396177994221211,2.4999999999999893
2026-06-15 22:14:00+00:00,18.0,2.0,17.066666666666666,26.4,38.3,0.0,,12.200834731620544,12.201660735521996,4.0,0.1500000000000003,58.0,448220160.0,1181745152.0,96.0,96.0,8232.0,0.3792866501220053,2.5862068965517295
2026-06-15 22:14:30+00:00,18.0,2.0,17.413793103448278,43.310344827586206,63.89655172413793,0.0,,10.396299607930317,10.405650417943228,4.0,0.1660000000000004,60.0,343986688.0,1181745152.0,96.0,96.0,8232.0,0.2910836464341171,2.7666666666666746
2026-06-15 22:15:00+00:00,18.633333333333333,2.0,16.4,40228.46666666667,40237.46666666667,0.06666666666666667,,13.092884203838151,13.122254184412888,4.0,0.1899999999999996,62.0,448474112.0,1181745152.0,96.0,96.0,8233.0,0.3795015458629104,3.064516129032252
2026-06-15 22:15:30+00:00,20.0,2.0,16.866666666666667,35.13333333333333,51.96666666666667,0.0,,12.83259956136941,12.716346599818715,4.0,0.1939999999999997,70.0,459770336.0,1181745152.0,96.0,96.0,8238.0,0.3890604799367097,2.7714285714285674
2026-06-15 22:16:00+00:00,20.0,2.0,16.666666666666668,60.666666666666664,70.6,0.0,,13.514466031363154,13.500608651221748,4.0,0.2259999999999996,74.0,495478784.0,1181745152.0,96.0,96.0,8239.0,0.4192771877772848,3.054054054054049
