timestamp,request_rate_rps,response_time_max_ms,error_rate,throughput_rps,cpu_usage_percent,system_cpu_usage_percent,replica_count,jvm_gc_pause_seconds_sum,jvm_gc_pause_count,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_threads_live,jvm_threads_peak,jvm_classes_loaded,jvm_heap_utilisation,jvm_gc_avg_pause_ms,response_time_p95_ms
2026-06-16 03:16:50+00:00,,984.341677,,,97.16981132075472,97.27713836477987,1.0,,,51228672.0,268435456.0,22.0,22.0,8063.0,0.1908416748046875,,
2026-06-16 03:17:20+00:00,0.1483361111111111,3456.526855,,0.1483361111111111,64.70588235294117,64.61960784313725,1.0,,,91987744.0,268435456.0,22.0,22.0,8218.0,0.34268105030059814,,1033.9231511859332
2026-06-16 03:17:50+00:00,14.150277777777777,3456.526855,,14.116944444444442,68.46846846846847,68.48859234234234,1.0,0.492,77.52146666666667,103975424.0,268435456.0,22.0,22.0,8224.0,0.38733863830566406,6.3466291487433155,305.3239333509703
2026-06-16 03:18:20+00:00,19.8,3456.526855,,19.766666666666666,56.34118967452301,56.37995510662177,1.0,0.8179999999999998,114.0,75019448.0,268435456.0,22.0,22.0,8227.0,0.27946922183036804,7.175438596491226,126.10069697614048
2026-06-16 03:18:50+00:00,32.333333333333336,3895.6972109999997,,32.3,99.51124144672532,99.4767741935484,1.0,5.037985166666667,208.0,309178368.0,501219328.0,81.0,81.0,8233.0,0.616852445083682,24.221082532051284,2188.1556857500013
2026-06-16 03:19:20+00:00,27.799999999999997,6799.136759,,27.766666666666666,99.78070175438597,99.7591995614035,1.0,5.865523133333332,180.0,409317376.0,467664896.0,128.0,128.0,8234.0,0.8752364770179372,32.586239629629624,3563.48067608125
2026-06-16 03:19:50+00:00,27.799999999999997,6799.136759,,27.766666666666666,99.78070175438597,99.7591995614035,0.0,5.865523133333332,180.0,409317376.0,467664896.0,128.0,128.0,8234.0,0.8752364770179372,32.586239629629624,3563.48067608125
2026-06-16 03:20:20+00:00,27.799999999999997,9808.449074,,27.766666666666666,99.52885747938751,99.58396937573616,1.0,5.865523133333332,180.0,271953920.0,497025024.0,179.0,179.0,8128.0,0.5471634361814346,32.586239629629624,3563.48067608125
2026-06-16 03:20:50+00:00,30.7,9808.449074,,30.666666666666668,99.67532467532467,99.8965102286402,1.0,3.958000000000002,172.0,81270272.0,536870912.0,180.0,180.0,8128.0,0.15137767791748047,23.011627906976752,5225.543543250001
2026-06-16 03:21:20+00:00,31.88937020993003,9808.449074,,31.856047984005336,99.59514170040485,99.33695443645084,1.0,3.53282239253582,137.95401532822393,230675456.0,464519168.0,180.0,180.0,8129.0,0.496589746755079,25.608695652173903,3972.8447464000005
2026-06-16 03:21:50+00:00,28.576192064021342,9808.449074,,28.542847615871963,97.09656463754824,97.12081186357501,2.0,5.149716572190731,174.05801933977995,371898560.0,716177408.0,202.0,202.0,8129.0,0.5192827305716966,29.586206896551726,3767.0442300250024
2026-06-16 03:22:20+00:00,27.682897222222227,8813.626645999999,,27.616230555555557,57.379138831658025,57.384041105781634,2.0,1.5059999999999973,110.0,160308288.0,725614592.0,202.0,202.0,8131.0,0.22092759678129517,13.690909090909066,888.0823266024678
2026-06-16 03:22:50+00:00,18.28643111111111,8813.626645999999,,18.219764444444444,35.38710231174181,35.38754801823453,2.0,0.1700000000000056,64.50580000000001,316329232.0,725614592.0,202.0,202.0,8132.0,0.435946624403055,2.6354219310512477,57.45145178536213
2026-06-16 03:23:20+00:00,18.12204388888889,8813.626645999999,,18.05537722222222,30.898679954541482,30.876144330798148,2.0,0.1919999999999999,78.0,186533408.0,725614592.0,202.0,202.0,8133.0,0.2570695380944048,2.4615384615384603,19.484597663780622
2026-06-16 03:23:50+00:00,18.333333333333332,8813.626645999999,,18.266666666666666,25.374896771204703,25.43895086812899,2.0,0.16200000000000025,74.0,257829376.0,725614592.0,202.0,202.0,8133.0,0.3553255114252168,2.1891891891891926,14.280604071428558
2026-06-16 03:24:20+00:00,30.366666666666667,802.909443,,30.299999999999997,36.485721982758626,36.41768898230248,2.0,0.809999999999996,136.0,247182848.0,725614592.0,208.0,208.0,8134.0,0.34065308322796245,5.955882352941146,120.42312738333311
2026-06-16 03:24:50+00:00,73.03333333333332,3860.505527,,72.96666666666665,86.69780658847644,86.74092058831933,2.0,4.371492333333336,328.0,287386112.0,725614592.0,230.0,230.0,8139.0,0.3960588929281069,13.327720528455293,887.0797592361096
2026-06-16 03:25:20+00:00,72.76340365963404,3860.505527,,72.6967403259674,99.6767960902982,99.61941778900112,2.0,8.203490650934906,319.982801719828,592282616.0,1013972992.0,247.0,247.0,8127.0,0.5841207021024876,25.63728615051554,1485.052329703117
2026-06-16 03:25:50+00:00,72.03687035370204,5082.961388000001,,71.97020035336867,98.65625906286357,98.82162833965195,3.0,9.750394039403941,364.014201420142,587555696.0,1299185664.0,286.0,286.0,8127.0,0.4522492144740907,26.78575176837709,2414.2102419537864
2026-06-16 03:26:20+00:00,65.48920222222222,5802.650647,,65.38920222222222,86.7929315712564,86.65577489514351,5.0,10.769173366666664,359.17606666666666,690918912.0,1733296128.0,335.0,335.0,8127.0,0.39861562074637025,29.9829926492875,2561.7165674080857
2026-06-16 03:26:50+00:00,71.21329666963003,6002.97391,,71.04662555792625,67.1843618677457,67.2911384115787,6.0,10.666000000000002,376.96836666666667,662411320.0,1948254208.0,354.0,357.0,8127.0,0.34000250956983946,28.29415129527668,2224.435522847223
2026-06-16 03:27:20+00:00,91.03974666666667,6002.97391,,90.87308000000002,56.15936508201669,56.205065930075435,6.0,8.291999999999994,450.4284666666667,707423224.0,2076180480.0,348.0,357.0,8127.0,0.34073300987783106,18.409138439592393,1365.702871319123
2026-06-16 03:27:50+00:00,95.05643444444443,6002.97391,,94.85643444444445,47.42696764309539,47.45973674674536,6.0,5.116000000000008,411.36659999999995,1024558992.0,1949302784.0,348.0,357.0,8127.0,0.5256027952197292,12.436595484417083,596.064304053346
2026-06-16 03:28:20+00:00,34.10000000000001,6002.97391,,33.9,25.741362847213487,25.71569638724447,6.0,0.6219999999999974,144.0,484771960.0,1949302784.0,348.0,357.0,8127.0,0.2486899233813437,4.319444444444427,20.91909095312492
2026-06-16 03:28:50+00:00,18.76666666666667,6002.97391,,18.566666666666666,14.604361205878593,14.596248427064252,6.0,0.14800000000000169,76.0,1022248296.0,1949302784.0,348.0,357.0,8127.0,0.5244173990775975,1.9473684210526538,11.094627877803426
2026-06-16 03:29:20+00:00,17.76666666666667,1998.7971069999999,,17.566666666666666,14.13703106835627,14.197920454870872,6.0,0.16999999999999377,82.0,948322312.0,1949302784.0,326.0,357.0,8127.0,0.48649307833749034,2.0731707317072408,11.914442959375004
2026-06-16 03:29:50+00:00,19.466666666666665,1998.7971069999999,,19.266666666666666,13.94476105880379,13.910758137159759,6.0,0.3340000000000046,90.0,721969936.0,1949302784.0,326.0,357.0,8127.0,0.3703734186017558,3.7111111111111623,11.344591971428553
2026-06-16 03:30:20+00:00,36.900000000000006,290.49071599999996,,36.7,20.286479536242197,20.31224178566616,6.0,0.35400000000000265,166.0,906102360.0,1949302784.0,326.0,357.0,8127.0,0.46483407679778904,2.1325301204819436,14.48110097307694
2026-06-16 03:30:50+00:00,108.9333333333333,667.394052,,108.7333333333333,45.158899483093826,45.12365106700584,6.0,2.3879999999999897,524.0,723056464.0,1949302784.0,328.0,359.0,8127.0,0.37093081174196896,4.557251908396927,102.51309108269213
2026-06-16 03:31:20+00:00,185.78589389042529,899.141121,,185.58590832861321,73.99661548209437,73.98695958262756,6.0,6.4736838036850735,823.9506213973945,1132479216.0,2024800256.0,340.0,371.0,8127.0,0.5593041647659689,7.856883210678218,213.6685597177859
2026-06-16 03:31:50+00:00,215.25250942074896,2157.387088,,215.05249497004257,87.59178087002309,87.59595341298323,6.0,16.20755894158691,976.0676293060326,1098394512.0,2503999488.0,383.0,414.0,8127.0,0.4386560449648143,16.604954877061346,591.2391458445754
2026-06-16 03:32:20+00:00,211.93333333333328,2157.387088,,211.7333333333333,86.01848036165977,86.07107869082188,6.0,10.134,820.0,1282078600.0,2491416576.0,392.0,423.0,8127.0,0.5145982459739402,12.358536585365854,741.3413409121614
2026-06-16 03:32:50+00:00,213.1,2157.387088,,212.89999999999998,88.80827873260338,88.75901183190982,6.0,11.878000000000004,848.0,1506281120.0,2664431616.0,392.0,423.0,8127.0,0.565329247316663,14.007075471698117,708.2222097750009
2026-06-16 03:33:20+00:00,187.96195173976798,2401.586592,,187.76195618361993,75.8263358377873,75.85055564063134,6.0,7.345879216104513,753.9834688708172,993106240.0,2274361344.0,392.0,423.0,8127.0,0.4366527960123473,9.74275898529429,416.46711878781997
2026-06-16 03:33:50+00:00,126.06957816597769,2401.586592,,125.86957372094055,48.122603565328035,48.15719520250434,6.0,2.9540288038405107,506.01013468462463,1262486064.0,2274361344.0,392.0,423.0,8127.0,0.5550947598237055,5.8378846615031454,98.81342914692198
